Reporting Date,Deal Owner,Customer,Country,Sales stage,Deal size,Probability,Weighted Forecast,Sales Channel,Close Date/Expected Close Date,Next Steps,Column1,
01-Jan-2015,Angela,Customer 1,China,Identified,2910,65.0%,1891.5,Telesales,07-Apr-2015,No Response,96,
01-Jan-2015,Denny,Customer 2,Australia,Validated,1680,50.0%,840,Telesales,02-Apr-2015,Follow up on call,91,
01-Jan-2015,Angela,Customer 3,France,Validated,1840,60.0%,1104,Partners,06-Jun-2015,Follow up on call,156,
01-Jan-2015,Charlie,Customer 4,US,Proposal,1380,75.0%,1035,Telesales,04-May-2015,Follow up on call,123,
01-Jan-2015,Greg,Customer 5,US,Proposal,4350,60.0%,2610,Telesales,17-Apr-2015,Send Email,106,
01-Jan-2015,Bob,Customer 6,India,Qualified,2740,65.0%,1781,Telesales,06-Apr-2015,Follow up on call,95,
01-Jan-2015,Angela,Customer 7,US,Validated,3040,60.0%,1824,Telesales,17-Jun-2015,Schedule a Meeting,167,
01-Jan-2015,Tim,Customer 8,Malaysia,Identified,1510,70.0%,1057,Telesales,26-Jun-2015,Schedule a Meeting,176,
01-Jan-2015,Edwin,Customer 9,Canada,Identified,1960,60.0%,1176,Partners,21-Apr-2015,Follow up on call,110,
01-Jan-2015,Lynda,Customer 10,France,Won,3990,75.0%,2992.5,F2F,27-Mar-2015,,,
01-Jan-2015,Paul,Customer 11,France,Identified,300,70.0%,210,Partners,21-Jun-2015,Follow up on call,171,
02-Jan-2015,Angela,Customer 12,Malaysia,Proposal,3030,85.0%,2575.5,Telesales,22-Jun-2015,Send Email,171,
02-Jan-2015,Edwin,Customer 13,UK,Proposal,380,80.0%,304,Website,09-Apr-2015,Follow up on call,97,
02-Jan-2015,Rachael,Customer 14,Germany,Validated,4430,60.0%,2658,Telesales,10-May-2015,No Response,128,
02-Jan-2015,Paul,Customer 15,China,Validated,3390,75.0%,2542.5,F2F,21-Apr-2015,Schedule a Meeting,109,
02-Jan-2015,Martha,Customer 16,Indonesia,Validated,4680,80.0%,3744,F2F,26-Jun-2015,Follow up on call,175,
02-Jan-2015,Joe,Customer 17,Canada,Identified,2510,80.0%,2008,F2F,10-May-2015,Schedule a Meeting,128,
02-Jan-2015,Paul,Customer 18,Germany,Identified,4900,85.0%,4165,F2F,21-May-2015,Schedule a Meeting,139,
02-Jan-2015,John,Customer 19,Australia,Identified,4270,85.0%,3629.5,F2F,15-May-2015,Follow up on call,133,
